,name,c-EffYr,c-Footage,c-LandPerUnit,c-NbrStories,c-YrBuilt,r-YrBuilt,r-YrRenovated,a-effyrtot,a-nstoriestot,a-yrbuilttot,a-unitsftotal,HU,aptshare,condoshare,dsfshare,duptripshare,HUDensity,LandValHU,ImpValHU,a-Elevators_Y,a-Fireplace_Y,a-Laundry_PRIVATE,a-SectySystem_Y,a-BldgQuality_0,a-BldgQuality_AVERAGE,a-BldgQuality_AVERAGEGOOD,a-BldgQuality_EXCELLENT,a-BldgQuality_GOOD,a-BldgQuality_GOODEXCELLENT,a-BldgQuality_LOWAVERAGE,a-BldgQuality_LOWCOST,a-ConstrClass_0,a-ConstrClass_MASONRY,a-ConstrClass_PREFABSTEEL,a-ConstrClass_REINFORCEDCONCRETE,a-ConstrClass_STRUCTURALSTEEL,a-ConstrClass_WOODFRAME,a-ProjectAppeal_0,a-ProjectAppeal_ABOVEAVERAGE,a-ProjectAppeal_AVERAGE,a-ProjectAppeal_BELOWAVERAGE,a-ProjectAppeal_EXCELLENT,a-ProjectAppeal_SUBSTANDARD,a-ProjectLocation_0,a-ProjectLocation_ABOVEAVERAGE,a-ProjectLocation_AVERAGE,a-ProjectLocation_BELOWAVERAGE,a-ProjectLocation_EXCELLENT,a-ProjectLocation_SUBSTANDARD,c-Elevators_Y,c-Fireplace_Y,c-Laundry_PRIVATE,c-SectySystem_Y,c-AptConversion_ ,c-AptConversion_0,c-AptConversion_N,c-AptConversion_Y,c-bath,c-BldgQuality_0,c-BldgQuality_1,c-BldgQuality_AVERAGE,c-BldgQuality_AVERAGEGOOD,c-BldgQuality_EXCELLENT,c-BldgQuality_GOOD,c-BldgQuality_GOODEXCELLENT,c-BldgQuality_LOWAVERAGE,c-BldgQuality_LOWCOST,c-ConstrClass_0,c-ConstrClass_MASONRY,c-ConstrClass_PREFABSTEEL,c-ConstrClass_REINFORCEDCONCRETE,c-ConstrClass_STRUCTURALSTEEL,c-ConstrClass_WOODFRAME,c-ProjectAppeal_0,c-ProjectAppeal_ABOVEAVERAGE,c-ProjectAppeal_AVERAGE,c-ProjectAppeal_BELOWAVERAGE,c-ProjectAppeal_EXCELLENT,c-ProjectAppeal_SUBSTANDARD,c-ProjectLocation_0,c-ProjectLocation_ABOVEAVERAGE,c-ProjectLocation_AVERAGE,c-ProjectLocation_BELOWAVERAGE,c-ProjectLocation_EXCELLENT,c-ProjectLocation_SUBSTANDARD,r-bath,r-Bedrooms,r-DupTrip,r-DSF,r-BrickStone,r-fp,r-garage,p-AdjacentGolfFairway_Y,p-WfntFootage,p-LakeWashington_0,p-LakeWashington_AVERAGE,p-LakeWashington_EXCELLENT,p-LakeWashington_FAIR,p-LakeWashington_GOOD,p-MtRainier_0,p-MtRainier_AVERAGE,p-MtRainier_EXCELLENT,p-MtRainier_GOOD,p-Olympics_0,p-Olympics_AVERAGE,p-Olympics_EXCELLENT,p-Olympics_GOOD,p-OtherView_0,p-OtherView_AVERAGE,p-OtherView_EXCELLENT,p-OtherView_GOOD,p-SeattleSkyline_0,p-SeattleSkyline_AVERAGE,p-SeattleSkyline_EXCELLENT,p-SeattleSkyline_GOOD,p-SmallLakeRiverCreek_0,p-SmallLakeRiverCreek_AVERAGE,p-SmallLakeRiverCreek_EXCELLENT,p-SmallLakeRiverCreek_GOOD,p-Territorial_0,p-Territorial_AVERAGE,p-Territorial_EXCELLENT,p-Territorial_GOOD,p-TrafficNoise_0,p-TrafficNoise_EXTREME,p-TrafficNoise_HIGH,p-TrafficNoise_MODERATE,p-WfntLocation_0,p-WfntLocation_DUWAMISH,p-WfntLocation_ELLIOTTBAY,p-WfntLocation_LAKESAMM,p-WfntLocation_LAKEUNION,p-WfntLocation_LAKEWASH,p-WfntLocation_OTHERLAKE,p-WfntLocation_PUGETSOUND,p-WfntLocation_RIVERSLOUGH,p-WfntLocation_SHIPCANAL,trumpmed,trump
0,ADAIR,0,0,0,0,0,2004.282392026578,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,1.0,0.0,9.754023615754985e-05,293353.79401993356,387920.2657807309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197674418604651,2.1926910299003324,0.0,1.0,0.0,1.0099667774086378,483.30564784053155,0.09619832878901691,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9913866462555891,0.008613353744410879,0.0,0.0,0.957118590132039,0.0,0.0,0.04288140986796098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4101995565410199
1,ALDARRA,0,0,0,0,0,1977.7225433526012,1992.5882352941176,0.0,0.0,0.0,0.0,346,0.0,0.0,0.9826589595375722,0.008670520231213872,2.580671531008745e-06,305239.8843930636,571395.9537572254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.208092485549133,3.1416184971098264,0.008670520231213872,0.9826589595375722,0.004310200808580307,1.1676300578034682,396.5838150289017,0.0,3.914267108304594e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9981397982586135,0.0,0.0,0.0018602017413864307,0.812281520236306,0.1370501492351628,0.005048882468536132,0.04561944805999509,0.96117766782327,0.0,0.028899978317883986,0.009922353858846069,0.97908837852753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020911621472470016,0.0,1.0,0.39162112932604765
2,ALDER SPRINGS,0,0,0,0,0,1988.0722891566265,1986.0,0.0,0.0,0.0,0.0,249,0.0,0.0,0.9919678714859438,0.004016064257028112,3.7453032543466424e-06,422630.5220883534,511570.281124498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6004016064257027,3.3293172690763053,0.004016064257028112,0.9919678714859438,0.0019354526539894518,1.502008032128514,587.5823293172691,0.0,6.979199638621856e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9570055280676034,0.024376674744689145,0.008575511059414228,0.010042286128293212,0.6596350979617909,0.14538224865841431,0.03375602715558447,0.16122662622421027,0.7678091125123392,0.0,0.0742932642841805,0.1578976232034803,0.9495972129408561,0.0,0.0,0.0,0.0,0.0,0.050402787059143965,0.0,0.0,0.0,1.0,0.4139650872817952
3,ALDERWOOD,0,0,0,0,0,1992.2201834862385,1993.6666666666667,0.0,0.0,0.0,0.0,218,0.0,0.0,1.0,0.0,1.6426256844116706e-05,431330.2752293578,848155.9633027522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9231651376146788,3.793577981651376,0.0,1.0,0.005007995959936032,2.165137614678899,825.894495412844,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9969264815749013,0.0,0.0,0.003073518425098718,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3249999999999997
4,ALG 30-0013,3990,2399,16566,2,3976,1982.2600732600733,1992.9285714285713,1989.0,2.0,1981.0,752.0,278,0.014388489208633094,0.0035971223021582736,0.9316546762589928,0.025179856115107913,2.9572684285958494e-05,189706.8345323741,853571.9424460431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9505494505494505,3.2051282051282053,0.02564102564102564,0.9487179487179487,0.0010734076668142602,0.5164835164835165,328.7802197802198,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.998613062382301,0.0013869376176990176,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9932318976078783,0.0,0.0,0.0067681023921216665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4460966542750931
5,ALG 30-0014,23928,18312,31080,24,23928,1969.8133802816901,1988.7142857142858,1985.857142857143,2.0,1951.7142857142858,901.7142857142857,299,0.046822742474916385,0.0033444816053511705,0.9230769230769231,0.013377926421404682,2.3897150500577368e-05,149448.4882943144,273413.3779264214,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.6514084507042253,3.0211267605633805,0.014084507042253521,0.971830985915493,0.0012398333663955563,0.5774647887323944,293.2992957746479,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8895488889343566,0.0,0.075425880789824,0.035025230275819476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4312499999999996
6,ALG 30-3141,12036,14796,44868,6,12036,1973.279569892473,1989.7894736842106,1992.0,2.0,1980.0,525.0,296,0.05405405405405406,0.0033783783783783786,0.9222972972972973,0.010135135135135136,4.1856695119792165e-05,106336.14864864865,226094.93243243243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.760752688172043,3.039426523297491,0.010752688172043012,0.978494623655914,0.0031474415796302717,0.5089605734767025,290.30824372759855,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9779483092440511,0.0,0.0,0.022051690755948882,0.7781496173223367,0.0,0.08286932735725311,0.13898105532041016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.507739938080495
7,ALPINE,0,0,0,0,0,1983.687747035573,1995.0666666666666,0.0,0.0,0.0,0.0,253,0.0,0.0,1.0,0.0,3.6087032565594316e-06,318869.5652173913,374592.8853754941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0652173913043477,3.0039525691699605,0.0,1.0,0.001812245153025356,1.0474308300395256,462.4150197628459,0.0,0.00017955081657537598,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9621555432121105,0.02020144951197352,0.0022046466804223398,0.015438360595493663,0.42814793675030083,0.5045164418939011,0.05137759322771063,0.015958028128087456,0.9997289906645271,0.0,0.0,0.0002710093354728427,0.9114053793869672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08859462061303282,0.0,1.0,0.4177489177489179
8,AMES LAKE,0,0,0,0,0,1986.267573696145,1994.5,0.0,0.0,0.0,0.0,441,0.0,0.0,1.0,0.0,1.5011815422070296e-05,337614.50793650793,415362.8117913832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259637188208617,3.1587301587301586,0.0,1.0,0.0023806952864290085,1.2312925170068028,485.1383219954649,0.0,0.00027732712073380203,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9100979478405793,0.037040207837052704,0.0231039328233174,0.029757911499050615,0.9849187081260556,0.015081291873944322,0.0,0.0,0.8423437358519597,0.0,0.019688761834995298,0.13796750231304503,0.9074229172212415,0.0,0.0,0.0,0.0,0.0,0.09257708277875852,0.0,0.0,0.0,1.0,0.3412698412698414
9,ANGEL CITY,0,0,0,0,0,1950.8824833702884,2007.25,2004.009009009009,2.5225225225225225,1989.3243243243244,809.2162162162163,562,0.19750889679715303,0.0,0.791814946619217,0.005338078291814947,0.00011822200831003953,140936.12099644128,197223.8434163701,0.0,0.0,0.4774774774774775,0.4774774774774775,0.0,0.8198198198198198,0.0,0.0,0.0,0.0,0.0,0.18018018018018017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4650776053215078,3.1441241685144123,0.0066518847006651885,0.9866962305986696,0.0114109566816289,0.7649667405764967,126.88026607538802,0.0,0.0,0.9345944101605295,0.03598555924479276,0.0,0.01863700542390794,0.010783025170769798,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9323275767769904,0.053312446042802254,0.0,0.014359977180207364,0.9467740116892537,0.0,0.05322598831074634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1573705179282869
10,ANGELO,0,0,0,0,0,1978.9411764705883,1976.3,0.0,0.0,0.0,0.0,272,0.0,0.0,0.9852941176470589,0.007352941176470588,1.8715137036774556e-05,132334.92647058822,272580.8823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9329044117647058,3.261029411764706,0.007352941176470588,0.9852941176470589,0.022734645328719723,1.025735294117647,375.9742647058824,0.0,1.1559349346243108e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9814511662213794,0.0063105790752382915,0.0,0.01223825470338228,1.0,0.0,0.0,0.0,0.6934190147168406,0.0,0.1779479265073082,0.12863305877585116,0.9940856726681249,0.0,0.0,0.0,0.0,0.0,0.005914327331875112,0.0,0.0,0.0,1.0,0.49266862170088016
11,ARIA,0,0,0,0,0,1985.3253588516745,0.0,0.0,0.0,0.0,0.0,209,0.0,0.0,1.0,0.0,7.458031622054078e-05,124623.92344497607,352957.8947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3373205741626792,3.5645933014354068,0.0,1.0,0.00274718985371214,1.5502392344497609,503.46411483253587,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8028371208714977,0.0,0.0023715826870895408,0.19479129644141271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32601880877742945
12,ARTHUR,0,0,0,0,0,1983.9616306954435,1998.1304347826087,0.0,0.0,0.0,0.0,417,0.0,0.0,0.9856115107913669,0.007194244604316547,3.3648324687838765e-06,329738.6091127098,443870.5035971223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.357314148681055,3.357314148681055,0.007194244604316547,0.9856115107913669,0.00347923100368626,1.4148681055155876,521.7985611510792,0.0,4.0345713054962544e-07,1.0,0.0,0.0,0.0,0.0,0.9902532422944691,0.004488452508221972,0.0,0.005258305197308934,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.87410797242264,0.035095420516266324,0.010741594228897563,0.08005501283219611,0.75482199858719,0.10564902599316137,0.013676526986795591,0.1258524484328531,0.8719909037523643,0.0335990948487691,0.04583758765428927,0.0485724137445773,0.8783916785062507,0.0,0.0,0.0,0.0,0.0,0.12160832149374935,0.0,0.0,0.0,1.0,0.5252679938744256
13,ASPEN GLEN,0,0,0,0,0,1991.8176470588235,0.0,0.0,0.0,0.0,0.0,170,0.0,0.0,1.0,0.0,1.1399539579302004e-05,284147.0588235294,653564.7058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.764705882352941,3.876470588235294,0.0,1.0,0.0034602076124567475,1.7117647058823529,815.5294117647059,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9676889438480809,0.0,0.029593271803983173,0.002717784347935942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.477508650519031
14,AUB 30-0046,0,0,0,0,0,1965.4736842105262,0.0,1987.0,1.0,1987.0,382.0,119,0.8403361344537815,0.0,0.15966386554621848,0.0,3.543724347083679e-05,112879.83193277312,239619.32773109243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.605263157894737,3.0,0.0,1.0,0.3878116343490305,0.7894736842105263,256.36842105263156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9726850322910714,0.0,0.0,0.027314967708928606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39090909090909093
15,AUB 30-0053,287451,204110,511386,271,287298,1983.6363636363637,0.0,1997.0588235294117,2.514705882352941,1985.5,636.2352941176471,430,0.6325581395348837,0.009302325581395349,0.046511627906976744,0.1558139534883721,0.00020199353526736662,26155.116279069767,140682.55813953487,0.35294117647058826,0.5441176470588235,0.5441176470588235,0.35294117647058826,0.0,0.45588235294117646,0.0,0.0,0.5441176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.5441176470588235,0.4264705882352941,0.0,0.0,0.0,0.029411764705882353,0.0,0.9705882352941176,0.0,0.0,0.0,0.0,26.5,36.0,19.5,0.0,0.0,36.0,0.0,82.6875,0.0,0.0,0.0,31.75,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,31.5,4.5,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.5860389610389611,2.5584415584415585,0.43506493506493504,0.12987012987012986,0.008433125316242199,0.922077922077922,265.7012987012987,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8526367907267117,0.0,0.01563336012487898,0.13172984914840935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3717105263157895
16,AUB 30-0067,6021,17117,0,0,6021,1961.675749318801,1997.111111111111,1989.0285714285715,1.6,1948.057142857143,1156.0857142857142,403,0.08684863523573201,0.0024813895781637717,0.8337468982630273,0.03722084367245657,7.5865416858910825e-06,827187.5781637717,1447092.5558312654,0.0,0.17142857142857143,0.5714285714285714,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5142857142857142,0.0,0.4857142857142857,0.0,0.0,0.0,0.5142857142857142,0.0,0.4857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5919618528610355,2.9700272479564034,0.04087193460490463,0.9155313351498637,0.0032296624074720282,0.8010899182561307,206.43596730245233,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9989806549399315,0.0010193450600685617,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9830656906219972,0.01693430937800279,0.0,0.0,0.9870281997025511,0.0023990602627996867,0.009432236209592089,0.0011405038250571348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35369774919614155
